iter	Quantile:alpha=0.9
0	95383.91954
1	91941.18215
2	88851.95968
3	85909.2191
4	83227.13723
5	80467.31785
6	77999.3506
7	75668.1557
8	73411.24596
9	71308.31121
10	69294.96571
11	67285.27503
12	65400.14658
13	63705.21222
14	62083.87591
15	60489.74438
16	59055.61992
17	57693.22748
18	56362.63024
19	55057.72987
20	53919.84144
21	52771.42087
22	51683.97502
23	50636.78197
24	49648.98971
25	48732.08667
26	47827.73629
27	47026.24333
28	46202.73407
29	45439.74063
30	44673.77392
31	43969.17388
32	43273.5852
33	42596.41972
34	41966.33904
35	41356.48991
36	40795.44589
37	40233.78675
38	39721.53433
39	39228.70379
40	38771.42169
41	38259.79003
42	37828.83062
43	37373.41101
44	36927.96827
45	36530.23548
46	36104.60255
47	35636.87175
48	35223.74551
49	34801.66612
50	34438.1513
51	34055.00144
52	33697.39448
53	33335.35707
54	33006.7719
55	32676.55911
56	32372.45375
57	32045.39955
58	31752.59947
59	31442.33257
60	31161.80813
61	30877.25109
62	30620.58477
63	30380.50714
64	30150.60184
65	29930.39686
66	29709.98383
67	29494.79133
68	29292.73772
69	29099.34673
70	28923.18565
71	28741.47057
72	28557.87815
73	28377.35134
74	28223.07244
75	28065.38636
76	27895.11103
77	27734.6907
78	27584.97902
79	27451.85282
80	27318.81555
81	27190.83382
82	27064.72414
83	26947.76169
84	26832.58446
85	26720.25253
86	26611.81424
87	26505.62334
88	26410.04767
89	26304.83087
90	26209.21212
91	26112.10396
92	26021.80773
93	25941.11867
94	25857.90378
95	25778.10476
96	25706.07034
97	25620.88057
98	25534.70437
99	25462.42536
100	25379.72845
101	25312.69764
102	25235.34373
103	25168.0588
104	25091.53886
105	25029.85285
106	24966.57482
107	24904.10228
108	24845.74915
109	24785.56901
110	24720.35244
111	24674.46453
112	24620.31367
113	24572.23211
114	24536.3362
115	24479.6987
116	24406.34439
117	24345.82549
118	24301.25591
119	24256.16103
120	24209.65291
121	24161.52248
122	24127.69611
123	24090.33333
124	24050.28137
125	24004.81627
126	23967.83442
127	23923.33035
128	23886.00633
129	23845.98502
130	23813.89713
131	23778.63397
132	23738.84192
133	23686.38724
134	23633.22888
135	23597.27209
136	23549.5509
137	23509.82729
138	23474.0164
139	23441.00703
140	23405.96364
141	23362.3748
142	23326.43463
143	23297.06119
144	23260.92934
145	23236.58243
146	23213.84652
147	23183.67894
148	23160.12917
149	23129.05761
150	23097.36124
151	23071.71622
152	23033.42229
153	23006.05971
154	22986.87969
155	22957.62501
156	22924.05148
157	22883.82107
158	22856.51709
159	22825.01585
160	22785.32958
161	22754.37506
162	22732.37819
163	22703.50156
164	22682.9406
165	22641.45845
166	22615.08806
167	22586.66261
168	22567.57402
169	22542.37779
170	22522.10635
171	22482.87969
172	22459.57055
173	22430.64152
174	22399.40869
175	22373.84024
176	22351.09485
177	22321.76389
178	22305.90419
179	22274.16346
180	22252.09456
181	22229.17575
182	22210.87605
183	22182.44407
184	22163.59456
185	22149.33344
186	22131.13791
187	22113.72483
188	22094.08128
189	22077.16742
190	22060.88235
191	22037.54815
192	22011.47611
193	21976.73188
194	21960.17508
195	21929.53569
196	21897.99106
197	21878.53646
198	21852.63204
199	21825.00716
200	21801.90937
201	21784.99342
202	21759.64937
203	21746.96103
204	21729.22226
205	21717.23279
206	21696.19003
207	21674.60823
208	21657.71624
209	21639.74735
210	21628.91998
211	21601.99716
212	21589.29065
213	21571.47105
214	21560.5191
215	21545.36627
216	21529.61042
217	21498.2628
218	21479.12825
219	21448.22963
220	21427.22561
221	21408.44229
222	21387.53672
223	21375.50138
224	21357.30243
225	21331.08708
226	21321.3304
227	21305.26513
228	21291.45736
229	21259.84776
230	21240.64152
231	21225.26828
232	21205.62061
233	21174.47879
234	21165.52891
235	21150.46303
236	21135.13414
237	21126.60231
238	21104.40357
239	21093.57424
240	21079.32845
241	21070.27094
242	21056.63336
243	21033.71301
244	21024.05897
245	21014.54761
246	21005.56467
247	20992.27252
248	20978.06946
249	20965.50113
250	20953.72481
251	20932.66821
252	20918.27429
253	20906.65807
254	20884.18222
255	20870.60446
256	20864.10335
257	20852.51227
258	20846.47621
259	20835.88168
260	20807.57633
261	20791.98456
262	20783.31425
263	20775.134
264	20762.96088
265	20755.0419
266	20740.57141
267	20733.81884
268	20723.21506
269	20715.35449
270	20708.20272
271	20685.96902
272	20671.4
273	20657.37582
274	20643.90818
275	20626.37421
276	20613.94514
277	20606.47268
278	20595.71305
279	20583.12149
280	20576.06282
281	20568.17299
282	20549.04406
283	20536.15772
284	20521.24073
285	20510.71101
286	20493.21922
287	20483.51909
288	20472.08534
289	20461.30822
290	20449.19792
291	20440.19796
292	20430.31538
293	20419.15344
294	20407.32992
295	20398.86728
296	20384.57614
297	20372.17071
298	20358.43235
299	20344.01445
300	20335.49114
301	20329.22653
302	20320.20468
303	20303.67778
304	20291.70508
305	20273.79484
306	20264.996
307	20258.1418
308	20251.89815
309	20240.86163
310	20227.01557
311	20217.40594
312	20204.33958
313	20194.54162
314	20181.08868
315	20159.49829
316	20144.44794
317	20130.64354
318	20120.24981
319	20110.28097
320	20106.44694
321	20098.24749
322	20083.8064
323	20072.14719
324	20061.5115
325	20050.11707
326	20039.7
327	20033.07957
328	20014.79298
329	20000.73715
330	19990.29769
331	19978.44024
332	19965.29307
333	19958.67949
334	19948.86826
335	19940.69675
336	19925.2739
337	19919.28687
338	19907.65268
339	19897.38346
340	19884.52247
341	19874.63329
342	19866.93378
343	19862.36273
344	19850.62769
345	19837.87975
346	19828.43822
347	19815.35345
348	19806.54541
349	19797.40705
350	19786.98078
351	19776.47616
352	19769.68606
353	19757.51731
354	19752.35441
355	19745.68401
356	19735.93084
357	19723.94044
358	19716.95297
359	19709.64508
360	19702.47452
361	19695.26671
362	19682.86965
363	19677.50401
364	19665.88848
365	19661.38551
366	19650.80596
367	19637.5653
368	19629.31251
369	19623.04674
370	19618.95883
371	19608.79463
372	19601.45473
373	19596.37059
374	19589.85022
375	19581.05321
376	19573.12023
377	19561.89158
378	19546.09025
379	19530.51556
380	19524.25713
381	19518.304
382	19511.1763
383	19503.17675
384	19496.61373
385	19484.42616
386	19476.99931
387	19463.4873
388	19452.36151
389	19441.07187
390	19428.18942
391	19418.74753
392	19411.52743
393	19397.75337
394	19390.59637
395	19377.45234
396	19368.88998
397	19364.87756
398	19357.441
399	19348.78281
400	19344.0228
401	19326.45755
402	19321.62243
403	19312.277
404	19307.95196
405	19301.9007
406	19290.91582
407	19283.43028
408	19272.86385
409	19266.30451
410	19254.30511
411	19243.29947
412	19236.45546
413	19228.61967
414	19220.61523
415	19209.58116
416	19198.95889
417	19190.70505
418	19186.0607
419	19174.40038
420	19169.44773
421	19161.73842
422	19150.36453
423	19146.87552
424	19135.25038
425	19129.15693
426	19124.6869
427	19120.88857
428	19115.38101
429	19109.42112
430	19103.30785
431	19098.09484
432	19088.31692
433	19082.83428
434	19072.60717
435	19065.05105
436	19057.96342
437	19044.69531
438	19038.02559
439	19034.14639
440	19024.92486
441	19019.74966
442	19014.45313
443	19005.07338
444	18998.1555
