iter	Passed	Remaining
0	17	15898
1	33	15109
2	48	14631
3	63	14260
4	78	14033
5	94	14102
6	110	14083
7	125	13990
8	141	13967
9	154	13771
10	170	13793
11	187	13856
12	202	13809
13	218	13804
14	233	13752
15	248	13748
16	264	13727
17	278	13650
18	293	13626
19	307	13540
20	322	13496
21	336	13432
22	353	13464
23	369	13471
24	383	13429
25	398	13391
26	415	13423
27	430	13413
28	447	13428
29	462	13413
30	478	13409
31	493	13378
32	508	13370
33	526	13408
34	541	13378
35	556	13354
36	572	13363
37	587	13316
38	602	13304
39	617	13285
40	634	13287
41	649	13269
42	664	13253
43	680	13246
44	697	13243
45	712	13219
46	727	13204
47	744	13206
48	759	13185
49	775	13183
50	790	13162
51	807	13162
52	822	13140
53	836	13110
54	853	13116
55	870	13115
56	885	13093
57	901	13085
58	918	13091
59	935	13102
60	955	13141
61	974	13166
62	992	13180
63	1007	13163
64	1023	13148
65	1038	13120
66	1053	13099
67	1067	13065
68	1085	13072
69	1101	13056
70	1115	13022
71	1129	12988
72	1144	12966
73	1161	12963
74	1178	12965
75	1196	12970
76	1213	12974
77	1231	12978
78	1248	12977
79	1264	12963
80	1281	12956
81	1298	12948
82	1313	12933
83	1329	12919
84	1343	12881
85	1357	12848
86	1373	12834
87	1390	12834
88	1410	12850
89	1425	12830
90	1442	12826
91	1460	12824
92	1476	12815
93	1492	12795
94	1508	12778
95	1524	12768
96	1539	12742
97	1554	12725
98	1570	12710
99	1584	12679
100	1600	12661
101	1616	12642
102	1631	12624
103	1647	12612
104	1664	12604
105	1680	12584
106	1695	12562
107	1711	12551
108	1726	12527
109	1742	12511
110	1759	12504
111	1774	12485
112	1789	12463
113	1807	12459
114	1823	12444
115	1837	12421
116	1853	12403
117	1867	12378
118	1882	12354
119	1897	12331
120	1912	12310
121	1928	12297
122	1944	12285
123	1961	12273
124	1982	12294
125	1996	12266
126	2012	12249
127	2029	12241
128	2046	12229
129	2060	12206
130	2076	12186
131	2090	12163
132	2104	12135
133	2117	12106
134	2131	12080
135	2146	12057
136	2161	12037
137	2177	12025
138	2193	12007
139	2208	11989
140	2223	11968
141	2238	11950
142	2254	11937
143	2269	11913
144	2285	11897
145	2300	11880
146	2316	11864
147	2332	11849
148	2349	11840
149	2364	11824
150	2380	11809
151	2396	11794
152	2411	11771
153	2425	11751
154	2442	11738
155	2456	11717
156	2473	11705
157	2487	11681
158	2501	11657
159	2516	11640
160	2532	11622
161	2546	11599
162	2562	11584
163	2578	11571
164	2594	11558
165	2609	11540
166	2626	11526
167	2640	11506
168	2655	11487
169	2671	11472
170	2686	11453
171	2701	11434
172	2716	11415
173	2732	11402
174	2748	11386
175	2763	11366
176	2778	11350
177	2795	11338
178	2811	11322
179	2828	11312
180	2845	11304
181	2861	11288
182	2877	11273
183	2892	11255
184	2907	11238
185	2922	11219
186	2938	11205
187	2953	11185
188	2968	11168
189	2991	11179
190	3005	11157
191	3021	11140
192	3036	11122
193	3051	11103
194	3066	11085
195	3083	11075
196	3100	11063
197	3115	11045
198	3130	11029
199	3146	11014
200	3163	11002
201	3180	10989
202	3195	10972
203	3211	10956
204	3226	10937
205	3241	10918
206	3256	10902
207	3273	10892
208	3291	10881
209	3307	10868
210	3325	10859
211	3341	10845
212	3358	10833
213	3374	10816
214	3390	10801
215	3404	10782
216	3420	10765
217	3436	10751
218	3451	10732
219	3466	10715
220	3482	10698
221	3498	10685
222	3513	10665
223	3529	10650
224	3544	10634
225	3559	10615
226	3574	10598
227	3590	10582
228	3606	10566
229	3620	10546
230	3634	10526
231	3650	10511
232	3664	10491
233	3679	10472
234	3694	10455
235	3710	10440
236	3727	10427
237	3745	10416
238	3761	10402
239	3777	10388
240	3793	10373
241	3808	10354
242	3823	10337
243	3839	10323
244	3855	10307
245	3872	10294
246	3888	10278
247	3905	10268
248	3921	10252
249	3936	10236
250	3952	10218
251	3967	10202
252	3982	10183
253	3997	10166
254	4016	10160
255	4032	10144
256	4046	10125
257	4063	10111
258	4079	10095
259	4093	10076
260	4109	10062
261	4125	10047
262	4141	10030
263	4158	10018
264	4175	10005
265	4192	9993
266	4211	9984
267	4227	9969
268	4242	9950
269	4257	9933
270	4272	9916
271	4288	9901
272	4304	9886
273	4324	9879
274	4341	9867
275	4360	9857
276	4382	9855
277	4400	9846
278	4419	9836
279	4436	9823
280	4453	9810
281	4469	9795
282	4486	9781
283	4504	9769
284	4520	9754
285	4537	9741
286	4551	9722
287	4569	9710
288	4587	9699
289	4607	9691
